state	year	state.population	prison.population	region
Idaho	1989	NA	1641	West
Illinois	1989	NA	24712	Midwest
Indiana	1989	NA	12353	Midwest
Iowa	1989	NA	3584	Midwest
Kansas	1989	NA	5628	Midwest
Kentucky	1989	NA	6878	South
Louisiana	1989	NA	13119	South
Maine	1989	NA	1442	Northeast
Maryland	1989	NA	16248	South
Massachusetts	1989	NA	7610	Northeast
Michigan	1989	NA	31639	Midwest
Minnesota	1989	NA	3140	Midwest
Mississippi	1989	NA	6752	South
Missouri	1989	NA	13921	Midwest
Montana	1989	NA	1308	West
Nebraska	1989	NA	2419	Midwest
Nevada	1989	NA	5374	West
New Hampshire	1989	NA	1135	Northeast
New Jersey	1989	NA	16017	Northeast
New Mexico	1989	NA	3001	West
New York	1989	NA	51232	Northeast
North Carolina	1989	NA	17665	South
North Dakota	1989	NA	511	Midwest
Ohio	1989	NA	30300	Midwest
Oklahoma	1989	NA	9818	South
Oregon	1989	NA	5714	West
Pennsylvania	1989	NA	19692	Northeast
Rhode Island	1989	NA	2476	Northeast
South Carolina	1989	NA	14909	South
South Dakota	1989	NA	1277	Midwest
Tennessee	1989	NA	7769	South
Texas	1989	NA	44022	South
Utah	1989	NA	2433	West
Vermont	1989	NA	880	Northeast
Virginia	1989	NA	14415	South
Washington	1989	NA	7024	West
West Virginia	1989	NA	1573	South
Wisconsin	1989	NA	6669	Midwest
Wyoming	1989	NA	1026	West
Alabama	1990	4040587	15351	South
Alaska	1990	550043	2362	West
Arizona	1990	3665228	14261	West
Arkansas	1990	2350725	6569	South
California	1990	29760021	97309	West
Colorado	1990	3294394	6783	West
Connecticut	1990	3287116	10101	Northeast
Delaware	1990	666168	3058	South
Florida	1990	12937926	43992	South
Georgia	1990	6478216	22411	South
Hawaii	1990	1108229	2390	West
Idaho	1990	1006749	1848	West
Illinois	1990	11430602	27516	Midwest
Indiana	1990	5544159	12736	Midwest
Iowa	1990	2776755	3967	Midwest
Kansas	1990	2477574	5790	Midwest
Kentucky	1990	3685296	8330	South
Louisiana	1990	4219973	14106	South
Maine	1990	1227928	1541	Northeast
Maryland	1990	4781468	17567	South
Massachusetts	1990	6016425	8345	Northeast
Michigan	1990	9295297	34267	Midwest
Minnesota	1990	4375099	3215	Midwest
Mississippi	1990	2573216	7600	South
Missouri	1990	5117073	14943	Midwest
Montana	1990	799065	1398	West
Nebraska	1990	1578385	2446	Midwest
Nevada	1990	1201833	5641	West
New Hampshire	1990	1109252	1357	Northeast
New Jersey	1990	7730188	17746	Northeast
New Mexico	1990	1515069	3379	West
New York	1990	17990455	54895	Northeast
North Carolina	1990	6628637	18619	South
North Dakota	1990	638800	542	Midwest
Ohio	1990	10847115	31501	Midwest
Oklahoma	1990	3145585	10502	South
Oregon	1990	2842321	6236	West
Pennsylvania	1990	11881643	21903	Northeast
Rhode Island	1990	1003464	2377	Northeast
South Carolina	1990	3486703	15621	South
South Dakota	1990	696004	1360	Midwest
Tennessee	1990	4877185	8519	South
Texas	1990	16986510	50042	South
Utah	1990	1722850	2543	West
Vermont	1990	562758	992	Northeast
Virginia	1990	6187358	14624	South
Washington	1990	4866692	7384	West
West Virginia	1990	1793477	1565	South
Wisconsin	1990	4891769	7247	Midwest
Wyoming	1990	453588	1110	West
Alabama	1991	NA	16443	South
Alaska	1991	NA	2483	West
Arizona	1991	NA	15415	West
Arkansas	1991	NA	7479	South
California	1991	NA	101808	West
Colorado	1991	NA	8311	West
Connecticut	1991	NA	10573	Northeast
Delaware	1991	NA	3308	South
Florida	1991	NA	46449	South
Georgia	1991	NA	23743	South
Hawaii	1991	NA	2444	West
Idaho	1991	NA	2059	West
Illinois	1991	NA	29115	Midwest
Indiana	1991	NA	13008	Midwest
Iowa	1991	NA	4145	Midwest
Kansas	1991	NA	5911	Midwest
Kentucky	1991	NA	8933	South
Louisiana	1991	NA	14975	South
Maine	1991	NA	1564	Northeast
Maryland	1991	NA	18983	South
Massachusetts	1991	NA	9415	Northeast
Michigan	1991	NA	36423	Midwest
Minnesota	1991	NA	3516	Midwest
Mississippi	1991	NA	8149	South
Missouri	1991	NA	15897	Midwest
Montana	1991	NA	1441	West
Nebraska	1991	NA	2591	Midwest
Nevada	1991	NA	5842	West
New Hampshire	1991	NA	1518	Northeast
New Jersey	1991	NA	19072	Northeast
New Mexico	1991	NA	3137	West
New York	1991	NA	57862	Northeast
North Carolina	1991	NA	19116	South
North Dakota	1991	NA	551	Midwest
Ohio	1991	NA	35446	Midwest
Oklahoma	1991	NA	11107	South
Oregon	1991	NA	6603	West
Pennsylvania	1991	NA	23405	Northeast
Rhode Island	1991	NA	2783	Northeast
South Carolina	1991	NA	16082	South
South Dakota	1991	NA	1391	Midwest
Tennessee	1991	NA	9456	South
Texas	1991	NA	51677	South
Utah	1991	NA	2794	West
Vermont	1991	NA	1088	Northeast
Virginia	1991	NA	16928	South
Washington	1991	NA	9205	West
West Virginia	1991	NA	1573	South
Wisconsin	1991	NA	7686	Midwest
Wyoming	1991	NA	1099	West
Alabama	1992	NA	17151	South
Alaska	1992	NA	2498	West
Arizona	1992	NA	16477	West
Arkansas	1992	NA	7709	South
